"","index","input_gene","ortholog_gene"
"PLIN4",13771,"PLIN4","PLIN4"
"ELF5",13773,"ELF5","ELF5"
"CNTNAP5",13774,"CNTNAP5","CNTNAP5"
"PFN2",13776,"PFN2","PFN2"
"IGSF10",13777,"IGSF10","IGSF10"
"MAB21L1",13778,"MAB21L1","MAB21L1"
"PLEKHB1",13779,"PLEKHB1","PLEKHB1"
"GALNT18",13780,"GALNT18","GALNT18"
"RIPOR3",13781,"RIPOR3","RIPOR3"
"DOK5",13782,"DOK5","DOK5"
"PLEKHG6",13783,"PLEKHG6","PLEKHG6"
"PREX2",13784,"PREX2","PREX2"
"DLL4",13786,"DLL4","DLL4"
"TMEM116",13788,"TMEM116","TMEM116"
"LIPF",13789,"LIPF","LIPF"
"FBXO40",13790,"FBXO40","FBXO40"
"SLC38A11",13792,"SLC38A11","SLC38A11"
"SUSD4",13793,"SUSD4","SUSD4"
"ATP1A4",13794,"ATP1A4","ATP1A2"
"ZNF750",13795,"ZNF750","ZNF750"
"CD99L2",13797,"CD99L2","CD99L2"
"ERAS",13799,"ERAS","ERAS"
"RSPH4A",13802,"RSPH4A","RSPH4A"
"A1BG",13804,"A1BG","A1BG"
"IGSF23",13806,"IGSF23","IGSF23"
"RGS9BP",13807,"RGS9BP","RGS9BP"
"ZNF581",13808,"ZNF581","ZNF581"
"GFY",13809,"GFY","GFY"
"SLC2A12",13810,"SLC2A12","SLC2A12"
"NR2F2",13811,"NR2F2","NR2F2"
"CPZ",13812,"CPZ","CPZ"
"HES4",13815,"HES4","HES4"
"MMP7",13816,"MMP7","MMP7"
"PALD1",13817,"PALD1","PALD1"
"UNC5A",13818,"UNC5A","UNC5A"
"GLRA1",13819,"GLRA1","GLRA1"
"IL12B",13821,"IL12B","IL12B"
"TSPAN15",13822,"TSPAN15","TSPAN15"
"TMEM54",13824,"TMEM54","TMEM54"
"MEIG1",13827,"MEIG1","MEIG1"
"FZD8",13829,"FZD8","FZD8"
"PLA2G2E",13830,"PLA2G2E","PLA2G2E"
"TNFSF18",13832,"TNFSF18","TNFSF18"
"TNNT2",13835,"TNNT2","TNNT2"
"TNNI1",13836,"TNNI1","TNNI1"
"ADCY10",13837,"ADCY10","ADCY10"
"GPA33",13838,"GPA33","GPA33"
"GSG1L",13841,"GSG1L","GSG1L"
"BICDL2",13842,"BICDL2","BICDL2"
"DNASE1L2",13843,"DNASE1L2","DNASE1L2"
"IL27",13845,"IL27","IL27"
"FBXO10",13846,"FBXO10","FBXO10"
"CNTFR",13848,"CNTFR","CNTFR"
"LTC4S",13850,"LTC4S","LTC4S"
"TEX48",13851,"TEX48","TEX48"
"ACTL7B",13852,"ACTL7B","ACTL7B"
"CCDC177",13853,"CCDC177","CCDC177"
"NRXN3",13855,"NRXN3","NRXN3"
"PAPLN",13857,"PAPLN","PAPLN"
"CDH24",13858,"CDH24","CDH24"
"TMEM229B",13859,"TMEM229B","TMEM229B"
"CARMIL3",13861,"CARMIL3","CARMIL3"
"GKN2",13862,"GKN2","GKN2"
"ADM2",13864,"ADM2","ADM2"
"HSD17B6",13865,"HSD17B6","HSD17B6"
"NXPH4",13866,"NXPH4","NXPH4"
"TOGARAM2",13869,"TOGARAM2","TOGARAM2"
"LIN7A",13874,"LIN7A","LIN7A"
"SLC39A2",13876,"SLC39A2","SLC39A2"
"POU4F2",13877,"POU4F2","POU4F2"
"FOXH1",13878,"FOXH1","FOXH1"
"QRFP",13880,"QRFP","QRFP"
"EPOP",13882,"EPOP","EPOP"
"MPP2",13883,"MPP2","MPP2"
"TBX2",13886,"TBX2","TBX2"
"KRT12",13887,"KRT12","KRT12"
"WIPF3",13892,"WIPF3","WIPF3"
"TRBV19",13893,"TRBV19","TRBV19"
"MBOAT4",13894,"MBOAT4","MBOAT4"
"SYDE1",13896,"SYDE1","SYDE1"
"PARP3",13897,"PARP3","PARP3"
"SYN2",13898,"SYN2","SYN2"
"SYNPR",13899,"SYNPR","SYNPR"
"CNN1",13901,"CNN1","CNN1"
"FSD1",13904,"FSD1","FSD1"
"COL5A3",13905,"COL5A3","COL5A3"
"BRSK2",13907,"BRSK2","BRSK2"
"TSGA10IP",13908,"TSGA10IP","TSGA10IP"
"PACSIN3",13909,"PACSIN3","PACSIN3"
"TMEM163",13910,"TMEM163","TMEM163"
"SUCNR1",13912,"SUCNR1","SUCNR1"
"SOX6",13913,"SOX6","SOX6"
"ANO3",13914,"ANO3","ANO3"
"DNAJB13",13917,"DNAJB13","DNAJB13"
"ADM",13919,"ADM","ADM"
"LZTS3",13921,"LZTS3","LZTS3"
"DDN",13924,"DDN","DDN"
"TNS2",13927,"TNS2","TNS2"
"MAP3K13",13930,"MAP3K13","MAP3K13"
"GSTO2",13932,"GSTO2","GSTO2"
"PLEKHS1",13933,"PLEKHS1","PLEKHS1"
"HSPA12A",13934,"HSPA12A","HSPA12A"
"ONECUT1",13936,"ONECUT1","ONECUT1"
"SHF",13938,"SHF","SHF"
"ZBED2",13946,"ZBED2","ZBED2"
"STXBP5L",13947,"STXBP5L","STXBP5L"
"SMCO1",13948,"SMCO1","SMCO1"
"MELTF",13949,"MELTF","MELTF"
"SATB2",13950,"SATB2","SATB2"
"FZD7",13951,"FZD7","FZD7"
"CATIP",13952,"CATIP","CATIP"
"ASIC4",13953,"ASIC4","ASIC4"
"TRIM10",13956,"TRIM10","TRIM10"
"MARK1",13958,"MARK1","MARK1"
"CLDN2",13961,"CLDN2","CLDN2"
"KIAA1210",13962,"KIAA1210","KIAA1210"
"RADX",13963,"RADX","RADX"
"ADGRG2",13966,"ADGRG2","ADGRG2"
"PARD6G",13967,"PARD6G","PARD6G"
"UPK1A",13969,"UPK1A","UPK1A"
"PTGIR",13972,"PTGIR","PTGIR"
"CYP2F1",13973,"CYP2F1","CYP2F1"
"CCKAR",13975,"CCKAR","CCKAR"
"PKNOX2",13976,"PKNOX2","PKNOX2"
"MMEL1",13977,"MMEL1","MMEL1"
"MMP27",13978,"MMP27","MMP27"
"CYP2J2",13979,"CYP2J2","CYP2J2"
"C5H16orf86",13980,"C5H16orf86","C16orf86"
"HCN1",13981,"HCN1","HCN1"
"ADGRG3",13982,"ADGRG3","ADGRG3"
"CFHR5",13985,"CFHR5","CFHR5"
"NOL4",13987,"NOL4","NOL4"
"SYT2",13988,"SYT2","SYT2"
"RGS7",13989,"RGS7","RGS7"
"KCNA10",13990,"KCNA10","KCNA10"
"SOX8",13992,"SOX8","SOX8"
"GNG13",13993,"GNG13","GNG13"
"TMC5",13994,"TMC5","TMC5"
"ASPHD1",13995,"ASPHD1","ASPHD1"
"OTOA",13996,"OTOA","OTOA"
"KPNA7",13997,"KPNA7","KPNA7"
"C11H9orf131",13999,"C11H9orf131","C9orf131"
"PRDM6",14003,"PRDM6","PRDM6"
"PTPN3",14004,"PTPN3","PTPN3"
"EML1",14005,"EML1","EML1"
"BEGAIN",14006,"BEGAIN","BEGAIN"
"KCNC2",14013,"KCNC2","KCNC2"
"NMS",14014,"NMS","NMS"
"HJV",14016,"HJV","HJV"
"DYSF",14017,"DYSF","DYSF"
"SMYD1",14018,"SMYD1","SMYD1"
"SDC1",14019,"SDC1","SDC1"
"TMCO2",14020,"TMCO2","TMCO2"
"CCDC38",14022,"CCDC38","CCDC38"
"MAB21L2",14026,"MAB21L2","MAB21L2"
"GABRA2",14027,"GABRA2","GABRA2"
"COX7B2",14028,"COX7B2","COX7B2"
"ADGRB1",14029,"ADGRB1","ADGRB1"
"SMIM2",14031,"SMIM2","SMIM2"
"LAMC3",14032,"LAMC3","LAMC3"
"RUNDC3A",14033,"RUNDC3A","RUNDC3A"
"ARL4D",14034,"ARL4D","ARL4D"
"MYO1D",14035,"MYO1D","MYO1D"
"FUT7",14036,"FUT7","FUT7"
"NOS2",14037,"NOS2","NOS2"
"VTN",14038,"VTN","VTN"
"WDR86",14040,"WDR86","WDR86"
"TUBB4A",14043,"TUBB4A","TUBB4A"
"MST1R",14044,"MST1R","MST1R"
"ALS2CL",14045,"ALS2CL","ALS2CL"
"PLPPR2",14046,"PLPPR2","PLPPR2"
"RCOR2",14048,"RCOR2","RCOR2"
"SEMA3C",14050,"SEMA3C","SEMA3C"
"VEPH1",14052,"VEPH1","VEPH1"
"AADACL2",14053,"AADACL2","AADACL2"
"NPPC",14054,"NPPC","NPPC"
"CCDC179",14056,"CCDC179","CCDC179"
"FAM83C",14057,"FAM83C","FAM83C"
"C24H20orf96",14058,"C24H20orf96","C20orf96"
"GCNT7",14059,"GCNT7","GCNT7"
"OTOR",14060,"OTOR","OTOR"
"KCNH3",14061,"KCNH3","KCNH3"
"MFAP5",14062,"MFAP5","MFAP5"
"LRTM2",14063,"LRTM2","LRTM2"
"PDZD7",14066,"PDZD7","PDZD7"
"TMPRSS7",14071,"TMPRSS7","TMPRSS7"
"APOD",14072,"APOD","APOD"
"SLC51A",14074,"SLC51A","SLC51A"
"ZDBF2",14075,"ZDBF2","ZDBF2"
"MDH1B",14076,"MDH1B","MDH1B"
"CCDC148",14077,"CCDC148","CCDC148"
"KLHL41",14078,"KLHL41","KLHL41"
"NFASC",14081,"NFASC","NFASC"
"STC2",14085,"STC2","STC2"
"SORBS2",14086,"SORBS2","SORBS2"
"PLS3",14088,"PLS3","PLS3"
"SMPX",14089,"SMPX","SMPX"
"TSHZ3",14090,"TSHZ3","TSHZ3"
"IRX6",14093,"IRX6","IRX6"
"NKX2-8",14094,"NKX2-8","NKX2-8"
"FRK",14095,"FRK","FRK"
"PTPRQ",14096,"PTPRQ","PTPRQ"
"ARHGAP39",14097,"ARHGAP39","ARHGAP39"
"ANXA13",14098,"ANXA13","ANXA13"
"SLC15A1",14099,"SLC15A1","SLC15A1"
"TTLL6",14100,"TTLL6","TTLL6"
"GLI3",14102,"GLI3","GLI3"
"RIMS4",14104,"RIMS4","RIMS4"
"SLC9A3",14106,"SLC9A3","SLC9A3"
"EPHB3",14107,"EPHB3","EPHB3"
"PKD2L1",14108,"PKD2L1","PKD2L1"
"MYO3B",14110,"MYO3B","MYO3B"
"DSP",14111,"DSP","DSP"
"SLC6A8",14113,"SLC6A8","SLC6A8"
"PCYT1B",14115,"PCYT1B","PCYT1B"
"TRDN",14118,"TRDN","TRDN"
"PACRG",14119,"PACRG","PACRG"
"NR2F1",14120,"NR2F1","NR2F1"
"CNGB1",14123,"CNGB1","CNGB1"
"GPR161",14128,"GPR161","GPR161"
"TDRD6",14131,"TDRD6","TDRD6"
"ANTXR1",14132,"ANTXR1","ANTXR1"
"HORMAD1",14133,"HORMAD1","HORMAD1"
"PXDN",14134,"PXDN","PXDN"
"COPZ2",14137,"COPZ2","COPZ2"
"SLC6A4",14138,"SLC6A4","SLC6A4"
"COL1A2",14139,"COL1A2","COL1A2"
"SCIN",14140,"SCIN","SCIN"
"ETV1",14141,"ETV1","ETV1"
"TMEM196",14142,"TMEM196","TMEM196"
"CAV2",14143,"CAV2","CAV2"
"VIPR2",14144,"VIPR2","VIPR2"
"ELANE",14145,"ELANE","ELANE"
"USHBP1",14146,"USHBP1","USHBP1"
"S1PR2",14147,"S1PR2","S1PR2"
"GAL",14148,"GAL","GAL"
"GPR87",14152,"GPR87","GPR87"
"CCM2L",14155,"CCM2L","CCM2L"
"HEY1",14157,"HEY1","HEY1"
"TMEM45A",14159,"TMEM45A","TMEM45A"
"CRYGA",14160,"CRYGA","CRYGA"
"TMEM35A",14162,"TMEM35A","TMEM35A"
"NHSL1",14163,"NHSL1","NHSL1"
"IRF6",14165,"IRF6","IRF6"
"GPR63",14168,"GPR63","GPR63"
"EDNRB",14170,"EDNRB","EDNRB"
"DNER",14171,"DNER","DNER"
"DKK3",14172,"DKK3","DKK3"
"ACTC1",14174,"ACTC1","ACTC1"
"MORN3",14175,"MORN3","MORN3"
"DAPL1",14177,"DAPL1","DAPL1"
"FRMPD4",14179,"FRMPD4","FRMPD4"
"IYD",14183,"IYD","IYD"
"C1H19orf54",14184,"C1H19orf54","ACTMAP"
"ABCG4",14187,"ABCG4","ABCG4"
"PROB1",14188,"PROB1","PROB1"
"BAMBI",14189,"BAMBI","BAMBI"
"FMO1",14191,"FMO1","FMO1"
"TRIM72",14192,"TRIM72","TRIM72"
"STX1A",14193,"STX1A","STX1A"
"TMEM63C",14194,"TMEM63C","TMEM63C"
"AK7",14195,"AK7","AK7"
"GPX2",14196,"GPX2","GPX2"
"GLYATL3",14199,"GLYATL3","GLYATL3"
"GPAT2",14201,"GPAT2","GPAT2"
"HMCN2",14202,"HMCN2","HMCN2"
"CERCAM",14203,"CERCAM","CERCAM"
"LCT",14206,"LCT","LCT"
"HEPHL1",14209,"HEPHL1","HEPHL1"
"DHH",14212,"DHH","DHH"
"FSIP1",14213,"FSIP1","FSIP1"
"GALNT5",14218,"GALNT5","GALNT5"
"ADTRP",14219,"ADTRP","ADTRP"
"ONECUT2",14220,"ONECUT2","ONECUT2"
"PRODH2",14221,"PRODH2","PRODH2"
"ECT2L",14222,"ECT2L","ECT2L"
"RAX",14223,"RAX","RAX"
"SLC7A10",14224,"SLC7A10","SLC7A10"
"ROR2",14225,"ROR2","ROR2"
"NTF4",14226,"NTF4","NTF4"
"MSX1",14227,"MSX1","MSX1"
"SLIT2",14228,"SLIT2","SLIT2"
"ADAMTS17",14229,"ADAMTS17","ADAMTS17"
"HOATZ",14230,"HOATZ","HOATZ"
"SMPD3",14231,"SMPD3","SMPD3"
"BTG4",14232,"BTG4","BTG4"
"FYB2",14233,"FYB2","FYB2"
"SKIDA1",14235,"SKIDA1","SKIDA1"
"FMN2",14236,"FMN2","FMN2"
"IGFALS",14237,"IGFALS","IGFALS"
"COX6A2",14238,"COX6A2","COX6A2"
"SLC25A48",14239,"SLC25A48","SLC25A48"
"MDGA1",14240,"MDGA1","MDGA1"
"BPIFC",14241,"BPIFC","BPIFC"
"POU3F1",14244,"POU3F1","POU3F1"
"HSF5",14246,"HSF5","HSF5"
"GRM3",14249,"GRM3","GRM3"
"IDO1",14250,"IDO1","IDO1"
"MAP6",14251,"MAP6","MAP6"
"VSTM5",14253,"VSTM5","VSTM5"
"CFAP61",14254,"CFAP61","CFAP61"
"NKAIN4",14255,"NKAIN4","NKAIN4"
"SOX18",14256,"SOX18","SOX18"
"STK32C",14258,"STK32C","STK32C"
"UMODL1",14259,"UMODL1","UMODL1"
"SLC39A8",14261,"SLC39A8","SLC39A8"
"ILDR1",14262,"ILDR1","ILDR1"
"FZD5",14263,"FZD5","FZD5"
"FRMD7",14267,"FRMD7","FRMD7"
"NEXMIF",14268,"NEXMIF","NEXMIF"
"TRPM6",14270,"TRPM6","TRPM6"
"TMEM145",14271,"TMEM145","TMEM145"
"VSIG2",14272,"VSIG2","VSIG2"
"VWA3A",14273,"VWA3A","VWA3A"
"ARG1",14274,"ARG1","ARG1"
"KNCN",14275,"KNCN","KNCN"
"SCN4A",14277,"SCN4A","SCN4A"
"COBL",14278,"COBL","COBL"
"IGF2",14279,"IGF2","IGF2"
"FBXL13",14280,"FBXL13","FBXL13"
"DPP10",14281,"DPP10","DPP10"
"ARHGEF26",14283,"ARHGEF26","ARHGEF26"
"SCRG1",14284,"SCRG1","SCRG1"
"DBX1",14285,"DBX1","DBX1"
"PEX5L",14287,"PEX5L","PEX5L"
"CXCL12",14288,"CXCL12","CXCL12"
"GPR176",14289,"GPR176","GPR176"
"SERPIND1",14290,"SERPIND1","SERPIND1"
"ESRRG",14291,"ESRRG","ESRRG"
"FAM187B",14292,"FAM187B","FAM187B"
"IRGC",14293,"IRGC","IRGC"
"RASGRF1",14294,"RASGRF1","RASGRF1"
"FABP6",14296,"FABP6","FABP6"
"MPP4",14299,"MPP4","MPP4"
"ABCB11",14300,"ABCB11","ABCB11"
"ARX",14302,"ARX","ARX"
"NUP62CL",14304,"NUP62CL","NUP62CL"
"IL1RAPL1",14305,"IL1RAPL1","IL1RAPL1"
"ARMCX4",14306,"ARMCX4","ARMCX4"
"GABRE",14307,"GABRE","GABRE"
"TMEM47",14309,"TMEM47","TMEM47"
"PRRG1",14311,"PRRG1","PRRG1"
"RAB9B",14313,"RAB9B","RAB9B"
"SYTL5",14315,"SYTL5","SYTL5"
"RNF128",14317,"RNF128","RNF128"
"TBC1D8B",14319,"TBC1D8B","TBC1D8B"
"BGN",14320,"BGN","BGN"
"ATP2B3",14321,"ATP2B3","ATP2B3"
"ZC3H12B",14322,"ZC3H12B","ZC3H12B"
"DUSP9",14323,"DUSP9","DUSP9"
"GRIA3",14326,"GRIA3","GRIA3"
"PRR32",14331,"PRR32","PRR32"
"LHFPL1",14334,"LHFPL1","LHFPL1"
"SMARCA1",14335,"SMARCA1","SMARCA1"
"CACNA1F",14336,"CACNA1F","CACNA1F"
"AMOT",14337,"AMOT","AMOT"
"MXRA5",14338,"MXRA5","MXRA5"
"IL13RA2",14340,"IL13RA2","IL13RA2"
"LUZP4",14342,"LUZP4","MUC12"
"GPR143",14346,"GPR143","GPR143"
"SHROOM2",14347,"SHROOM2","SHROOM2"
"MID1",14349,"MID1","MID1"
"TEX28",14350,"TEX28","TEX28"
"NHS",14351,"NHS","NHS"
"DACH2",14352,"DACH2","DACH2"
"RAB33A",14353,"RAB33A","RAB33A"
"ZIC3",14356,"ZIC3","ZIC3"
"SRPX2",14357,"SRPX2","SRPX2"
"CITED1",14359,"CITED1","CITED1"
"GPR173",14360,"GPR173","GPR173"
"DIPK2B",14362,"DIPK2B","DIPK2B"
"RGN",14365,"RGN","RGN"
"SOX3",14367,"SOX3","SOX3"
"CNKSR2",14369,"CNKSR2","CNKSR2"
"KLHL34",14372,"KLHL34","KLHL34"
"NETO1",14373,"NETO1","NETO1"
"RSPO3",14374,"RSPO3","RSPO3"
"GDA",14375,"GDA","GDA"
"IL11",14376,"IL11","IL11"
"BRSK1",14379,"BRSK1","BRSK1"
"DOK6",14380,"DOK6","DOK6"
"CCDC102B",14381,"CCDC102B","CCDC102B"
"ENPP1",14382,"ENPP1","ENPP1"
"CDH19",14383,"CDH19","CDH19"
"CDH7",14384,"CDH7","CDH7"
"CALHM4",14385,"CALHM4","CALHM4"
"OVOL3",14386,"OVOL3","OVOL3"
"LAMA2",14387,"LAMA2","LAMA2"
"SERPINB11",14389,"SERPINB11","SERPINB11"
"SYT5",14390,"SYT5","SYT5"
"SERPINB13",14391,"SERPINB13","SERPINB13"
"IL20RA",14392,"IL20RA","IL20RA"
"IGLON5",14393,"IGLON5","IGLON5"
"FAM162B",14394,"FAM162B","FAM162B"
"FRMD3",14395,"FRMD3","FRMD3"
"EPS8L1",14396,"EPS8L1","EPS8L1"
"KLK13",14397,"KLK13","KLK13"
"KIRREL2",14398,"KIRREL2","KIRREL2"
"RASEF",14399,"RASEF","RASEF"
"NPHS1",14400,"NPHS1","NPHS1"
"CDC42EP5",14401,"CDC42EP5","CDC42EP5"
"SLC35F1",14402,"SLC35F1","SLC35F1"
"CNDP1",14405,"CNDP1","CNDP1"
"DIPK1C",14406,"DIPK1C","DIPK1C"
"C1H18orf63",14407,"C1H18orf63","C18orf63"
"ACP4",14410,"ACP4","ACP4"
"PGM5",14411,"PGM5","PGM5"
"C1H19orf81",14412,"C1H19orf81","C19orf81"
"LRRC4B",14413,"LRRC4B","LRRC4B"
"CACNG7",14414,"CACNG7","CACNG7"
"ATP4A",14416,"ATP4A","ATP4A"
"DMKN",14417,"DMKN","DMKN"
"GJA1",14418,"GJA1","GJA1"
"GNA14",14419,"GNA14","GNA14"
"CLVS2",14420,"CLVS2","CLVS2"
"SPTBN4",14421,"SPTBN4","SPTBN4"
"GAS1",14422,"GAS1","GAS1"
"DMRT2",14423,"DMRT2","DMRT2"
"HIPK4",14424,"HIPK4","HIPK4"
"TPD52L1",14426,"TPD52L1","TPD52L1"
"SLC1A1",14430,"SLC1A1","SLC1A1"
"CPT1C",14433,"CPT1C","CPT1C"
"SLC8A2",14434,"SLC8A2","SLC8A2"
"LRP3",14436,"LRP3","LRP3"
"WDR88",14437,"WDR88","WDR88"
"FNDC1",14438,"FNDC1","FNDC1"
"PRRG2",14439,"PRRG2","PRRG2"
"SHC3",14440,"SHC3","SHC3"
"S1PR3",14441,"S1PR3","S1PR3"
"CCN2",14442,"CCN2","CCN2"
"SBK3",14443,"SBK3","SBK2"
"SLC17A7",14444,"SLC17A7","SLC17A7"
"PTH2",14446,"PTH2","PTH2"
"SLC22A2",14448,"SLC22A2","SLC22A2"
"SHISA7",14449,"SHISA7","SHISA7"
"VSTM2B",14450,"VSTM2B","VSTM2B"
"ATP8B1",14451,"ATP8B1","ATP8B1"
"PLG",14452,"PLG","PLG"
"BARX1",14453,"BARX1","BARX1"
"WNK2",14454,"WNK2","WNK2"
"EYA4",14455,"EYA4","EYA4"
"PPP1R14C",14457,"PPP1R14C","PPP1R14C"
"TCF21",14458,"TCF21","TCF21"
"CCDC8",14459,"CCDC8","CCDC8"
"CHST8",14460,"CHST8","CHST8"
"HIF3A",14461,"HIF3A","HIF3A"
"KCNA7",14463,"KCNA7","KCNA7"
"NOVA2",14464,"NOVA2","NOVA2"
"FOXA3",14465,"FOXA3","FOXA3"
"DMPK",14467,"DMPK","DMPK"
"ATP1A3",14469,"ATP1A3","ATP1A3"
"GGN",14471,"GGN","GGN"
"FGF21",14472,"FGF21","FGF21"
"TTLL2",14474,"TTLL2","TTLL2"
"DPF1",14475,"DPF1","DPF1"
"UNC93A",14476,"UNC93A","UNC93A"
"NKPD1",14477,"NKPD1","NKPD1"
"GRIN2D",14478,"GRIN2D","GRIN2D"
"APOC2",14480,"APOC2","APOC2"
"CYP2S1",14481,"CYP2S1","CYP2S1"
"LTBP4",14482,"LTBP4","LTBP4"
"ELSPBP1",14484,"ELSPBP1","ELSPBP1"
"HAPLN1",14485,"HAPLN1","HAPLN1"
"ACOT12",14486,"ACOT12","ACOT12"
"PCSK1",14487,"PCSK1","PCSK1"
"LDB2",14488,"LDB2","LDB2"
"CMYA5",14489,"CMYA5","CMYA5"
"PDE8B",14490,"PDE8B","PDE8B"
"C1QTNF7",14491,"C1QTNF7","C1QTNF7"
"NKX3-2",14492,"NKX3-2","NKX3-2"
"CFAP161",14494,"CFAP161","CFAP161"
"EFNA5",14496,"EFNA5","EFNA5"
"CEMIP",14497,"CEMIP","CEMIP"
"EVC",14498,"EVC","EVC"
"SLC26A1",14500,"SLC26A1","SLC26A1"
"ARNT2",14501,"ARNT2","ARNT2"
"FGFRL1",14502,"FGFRL1","FGFRL1"
"ALDH1A3",14503,"ALDH1A3","ALDH1A3"
"NSUN7",14507,"NSUN7","NSUN7"
"CPLX1",14508,"CPLX1","CPLX1"
"PCDH7",14509,"PCDH7","PCDH7"
"NDN",14511,"NDN","NDN"
"RHCG",14512,"RHCG","RHCG"
"RGMA",14513,"RGMA","RGMA"
"OTUD7A",14514,"OTUD7A","OTUD7A"
"ST8SIA2",14515,"ST8SIA2","ST8SIA2"
"LGI2",14516,"LGI2","LGI2"
"AGBL1",14517,"AGBL1","AGBL1"
"NTRK3",14518,"NTRK3","NTRK3"
"ACSBG1",14519,"ACSBG1","ACSBG1"
"HTRA3",14520,"HTRA3","HTRA3"
"HMX1",14521,"HMX1","HMX1"
"BNC1",14525,"BNC1","BNC1"
"MEX3B",14526,"MEX3B","MEX3B"
"FEZ1",14527,"FEZ1","FEZ1"
"NNMT",14528,"NNMT","NNMT"
"ROBO4",14529,"ROBO4","ROBO4"
"ROBO3",14530,"ROBO3","ROBO3"
"ATP1B2",14531,"ATP1B2","ATP1B2"
"PANX3",14532,"PANX3","PANX3"
"PLEKHG4",14533,"PLEKHG4","PLEKHG4"
"TMPRSS5",14534,"TMPRSS5","TMPRSS5"
"CDRT4",14535,"CDRT4","CDRT4"
"TTC12",14536,"TTC12","TTC12"
"C5H11orf87",14538,"C5H11orf87","C11orf87"
"B3GNT9",14539,"B3GNT9","B3GNT9"
"KCNAB3",14540,"KCNAB3","KCNAB3"
"BSND",14542,"BSND","BSND"
"ALOX12B",14543,"ALOX12B","ALOX12B"
"GRIK4",14544,"GRIK4","GRIK4"
"ALOXE3",14545,"ALOXE3","ALOXE3"
"CA7",14546,"CA7","CA7"
"AIPL1",14547,"AIPL1","AIPL1"
"WFDC1",14548,"WFDC1","WFDC1"
"WSCD1",14549,"WSCD1","WSCD1"
"SCN3B",14550,"SCN3B","SCN3B"
"DNAAF1",14551,"DNAAF1","DNAAF1"
"ACOT11",14552,"ACOT11","ACOT11"
"NTM",14553,"NTM","NTM"
"CMTM2",14554,"CMTM2","CMTM2"
"ARHGEF15",14555,"ARHGEF15","ARHGEF15"
"CLMP",14556,"CLMP","CLMP"
"BEAN1",14557,"BEAN1","BEAN1"
"CDH5",14558,"CDH5","CDH5"
"CDH11",14559,"CDH11","CDH11"
"CDH8",14560,"CDH8","CDH8"
"GUCY1A2",14561,"GUCY1A2","GUCY1A2"
"CALB2",14562,"CALB2","CALB2"
"TLE7",14563,"TLE7","TLE7"
"NTN1",14564,"NTN1","NTN1"
"CFAP52",14566,"CFAP52","CFAP52"
"USP43",14568,"USP43","USP43"
"MFRP",14569,"MFRP","MFRP"
"C1QTNF5",14570,"C1QTNF5","C1QTNF5"
"MCAM",14571,"MCAM","MCAM"
"TMEM45B",14572,"TMEM45B","TMEM45B"
"GLP2R",14573,"GLP2R","GLP2R"
"RCVRN",14574,"RCVRN","RCVRN"
"BARX2",14575,"BARX2","BARX2"
"C17orf114",14576,"C17orf114","C17orf114"
"GLTPD2",14577,"GLTPD2","GLTPD2"
"SLC22A31",14578,"SLC22A31","SLC22A31"
"CDH15",14579,"CDH15","CDH15"
"PODN",14580,"PODN","PODN"
"MYH8",14581,"MYH8","MYH8"
"SLC47A1",14583,"SLC47A1","SLC47A1"
"ZYG11A",14584,"ZYG11A","ZYG11A"
"CLEC3A",14585,"CLEC3A","CLEC3A"
"C5H11orf52",14586,"C5H11orf52","C11orf52"
"VAT1L",14587,"VAT1L","VAT1L"
"SAMD11",14588,"SAMD11","SAMD11"
"RNF112",14589,"RNF112","RNF112"
"ADAMTS18",14590,"ADAMTS18","ADAMTS18"
"MFAP4",14591,"MFAP4","MFAP4"
"CACHD1",14592,"CACHD1","CACHD1"
"CNTNAP4",14593,"CNTNAP4","CNTNAP4"
"KIRREL3",14594,"KIRREL3","KIRREL3"
"TMEM25",14596,"TMEM25","TMEM25"
"MYH1",14597,"MYH1","MYH1"
"FAM83G",14598,"FAM83G","FAM83G"
"TNFRSF9",14600,"TNFRSF9","TNFRSF9"
"SPEM1",14601,"SPEM1","SPEM1"
"FGF11",14602,"FGF11","FGF11"
"MMP13",14603,"MMP13","MMP13"
"MMP3",14604,"MMP3","MMP3"
"ROR1",14605,"ROR1","ROR1"
"FOXF1",14607,"FOXF1","FOXF1"
"FOXD3",14608,"FOXD3","FOXD3"
"SHBG",14609,"SHBG","SHBG"
"CFAP300",14610,"CFAP300","CFAP300"
"ANGPTL5",14611,"ANGPTL5","ANGPTL5"
"ARHGAP44",14612,"ARHGAP44","ARHGAP44"
"KANK4",14613,"KANK4","KANK4"
"NRN1L",14614,"NRN1L","NRN1L"
"TMEM52",14615,"TMEM52","TMEM52"
"NT5M",14616,"NT5M","NT5M"
"HSD11B2",14618,"HSD11B2","HSD11B2"
"RANBP3L",14619,"RANBP3L","RANBP3L"
"SNCB",14620,"SNCB","SNCB"
"SLC36A2",14621,"SLC36A2","SLC36A2"
"MSX2",14622,"MSX2","MSX2"
"NKX2-5",14624,"NKX2-5","NKX2-5"
"ADAMTS12",14625,"ADAMTS12","ADAMTS12"
"SYNPO2L",14626,"SYNPO2L","SYNPO2L"
"ARSI",14627,"ARSI","ARSI"
"CAMK2A",14628,"CAMK2A","CAMK2A"
"NEURL1B",14629,"NEURL1B","NEURL1B"
"CDX1",14630,"CDX1","CDX1"
